,Series_Title,Genre,Overview
60,Avengers: Infinity War,action adventur scifi,aveng alli will sacrific attempt defeat power thano blitz devast ruin put end univers
61,Coco,anim adventur famili,aspir musician miguel confront famili ancestr ban music enter land dead greatgreatgrandfath legendari singer
62,Django Unchained,drama western,help german bounti hunter freed slave set rescu wife brutal mississippi plantat owner
63,The Dark Knight Rises,action adventur,year joker reign anarchi batman help enigmat catwoman forc exil save gotham citi brutal guerrilla terrorist bane
64,3 Idiots,comedi drama,friend search long lost companion revisit colleg day recal memori friend inspir think differ rest world call idiot
65,Taare Zameen Par,drama famili,eightyearold boy thought lazi troublemak new art teacher patienc compass discov real problem struggl school
66,WALL·E,anim adventur famili,distant futur small wastecollect robot inadvert embark space journey ultim decid fate mankind
67,The Lives of Others,drama mysteri thriller,east berlin agent secret polic conduct surveil writer lover find increasingli absorb live
68,Oldeuboi,action drama mysteri,kidnap imprison year oh daesu releas captor day
69,Memento,mysteri thriller,man shortterm memori loss attempt track wife murder
70,Mononoke-hime,anim action adventur,journey cure tatarigami curs ashitaka find middl war forest god tatara mine coloni quest meet san mononok hime
71,Once Upon a Time in America,crime drama,prohibitionera jewish gangster return lower east manhattan thirti year later confront ghost regret old life
72,Raiders of the Lost Ark,action adventur,archaeologist adventur indiana jone hire govern ark coven adolf hitler nazi obtain awesom power
73,The Shining,drama horror,famili head isol hotel winter sinist presenc influenc father violenc psychic son see horrif forebod past futur
74,Apocalypse Now,drama mysteri war,armi offic serv vietnam task assassin renegad special forc colonel see god
75,Alien,horror scifi,space merchant vessel receiv unknown transmiss distress crew attack mysteri life form soon realiz life cycl mere begun
76,Anand,drama music,stori termin ill man wish live life fullest inevit occur told best friend
77,Tengoku to jigoku,crime drama mysteri,execut shoe compani victim extort chauffeur son kidnap held ransom
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,comedi,insan gener trigger path nuclear holocaust war room politician gener frantic tri stop
79,Witness for the Prosecution,crime drama mysteri,veteran british barrist defend client murder trial surpris surpris
80,Paths of Glory,drama war,refus attack enemi posit gener accus soldier cowardic command offic defend
81,Rear Window,mysteri thriller,wheelchairbound photograph spi neighbor apart window convinc commit murder
82,Sunset Blvd.,drama filmnoir,screenwrit develop danger relationship fade film star determin make triumphant return
83,The Great Dictator,comedi drama war,dictat adenoid hynkel tri expand empir poor jewish barber tri avoid persecut hynkel regim
84,1917,drama thriller war,april th regiment assembl wage war deep enemi territori soldier assign race time deliv messag stop men walk straight deadli trap
85,Tumbbad,drama fantasi horror,mytholog stori goddess creat entir univers plot revolv consequ human build templ firstborn
86,Andhadhun,crime drama music,seri mysteri event chang life blind pianist report crime technic know
87,Drishyam,crime drama thriller,man goe extrem length save famili punish famili commit accident crime
88,Jagten,drama,teacher live lone life struggl son custodi life slowli get better find love receiv good news son new luck brutal shatter innoc littl lie
89,Jodaeiye Nader az Simin,drama,marri coupl face difficult decis improv life child move countri stay iran look deterior parent alzheim diseas
90,Incendies,drama mysteri war,twin journey middl east discov famili histori fulfil mother wish
91,Miracle in cell NO.7,drama,stori love mentallyil father wrongli accus murder love year old daughter prison home base korean movi beonbangui seonmul
92,Babam ve Oglum,drama famili,famili leftw journalist torn apart militari coup turkey
93,Inglourious Basterds,adventur drama war,nazioccupi franc world war ii plan assassin nazi leader group jewish soldier coincid theatr owner veng plan
94,Eternal Sunshine of the Spotless Mind,drama romanc scifi,relationship turn sour coupl undergo medic procedur eras memori
95,Amélie,comedi romanc,améli innoc naiv girl pari sens justic decid help way discov love
96,Snatch,comedi crime,unscrupul box promot violent bookmak russian gangster incompet amateur robber supposedli jewish jewel fight track priceless stolen diamond
97,Requiem for a Dream,drama,druginduc utopia coney island peopl shatter addict run deep
98,American Beauty,drama,sexual frustrat suburban father midlif crisi infatu daughter best friend
99,Good Will Hunting,drama romanc,hunt janitor mit gift mathemat need help psychologist direct life
100,Bacheha-Ye aseman,drama famili sport,boy lose sister pair shoe goe seri adventur order tri new way win new pair
101,Toy Story,anim adventur comedi,cowboy doll profoundli threaten jealou new spaceman figur supplant toy boy room
102,Braveheart,biographi drama histori,scottish warrior william wallac lead countrymen rebellion free homeland tyranni king edward england
103,Reservoir Dogs,crime drama thriller,simpl jewelri heist goe horribl wrong surviv crimin begin suspect polic inform
104,Full Metal Jacket,drama war,pragmat marin observ dehuman effect vietnam war fellow recruit brutal boot camp train bloodi street fight hue
105,Idi i smotri,drama thriller war,find old rifl young boy join soviet resist movement ruthless german forc experi horror world war ii
106,Aliens,action adventur scifi,fiftyseven year surviv apocalypt attack aboard space vessel merciless space creatur offic ripley awaken hypersleep tri warn listen predat
107,Amadeus,biographi drama histori,life success troubl wolfgang amadeu mozart told antonio salieri contemporan compos insan jealou mozart talent claim murder
108,Scarface,crime drama,miami determin cuban immigr take drug cartel succumb greed
109,Star Wars: Episode VI - Return of the Jedi,action adventur fantasi,dare mission rescu han solo jabba hutt rebel dispatch endor destroy second death star luke struggl help darth vader dark fall emperor trap
110,Das Boot,adventur drama thriller,claustrophob world wwii german uboat boredom filth sheer terror
111,Taxi Driver,crime drama,mental unstabl veteran work nighttim taxi driver new york citi perceiv decad sleaz fuel urg violent action attempt liber presidenti campaign worker underag prostitut
112,The Sting,comedi crime drama,grifter team pull ultim
113,A Clockwork Orange,crime drama scifi,futur sadist gang leader imprison volunt conductavers experi doesnt plan
114,2001: A Space Odyssey,adventur scifi,discov mysteri artifact buri beneath lunar surfac mankind set quest origin help intellig supercomput hal
115,Per qualche dollaro in più,western,bounti hunter intent team track western outlaw
116,Lawrence of Arabia,adventur biographi drama,stori te lawrenc english offic success unit led divers war arab tribe world war order fight turk
117,The Apartment,comedi drama romanc,man tri rise compani let execut use apart tryst complic romanc ensu
118,North by Northwest,adventur mysteri thriller,new york citi advertis execut goe run mistaken govern agent group foreign spi
119,Vertigo,mysteri romanc thriller,polic detect juggl wrestl person demon obsess hauntingli beauti woman
120,Singin' in the Rain,comedi music romanc,silent film product compani cast make difficult transit sound
121,Ikiru,drama,bureaucrat tri mean life discov termin cancer
122,Ladri di biciclette,drama,postwar itali workingclass man bicycl stolen son set
123,Double Indemnity,crime drama filmnoir,insur repres let talk seduct housewif murderinsur fraud scheme arous suspicion insur investig
124,Citizen Kane,drama mysteri,follow death publish tycoon charl foster kane report scrambl uncov mean final utter rosebud
125,M - Eine Stadt sucht einen Mörder,crime mysteri thriller,polic german citi unabl catch childmurder crimin join manhunt
126,Metropolis,drama scifi,futurist citi sharpli divid work class citi planner son citi mastermind fall love workingclass prophet predict come savior mediat differ
127,The Kid,comedi drama famili,tramp care abandon child event relationship jeopardi
128,Chhichhore,comedi drama,tragic incid forc anirudh middleag man trip memori lane reminisc colleg day friend label loser
129,Uri: The Surgical Strike,action drama war,indian armi special forc execut covert oper aveng kill fellow armi men base terrorist group
130,K.G.F: Chapter 1,action drama,s fierc rebel rise brutal oppress symbol hope legion downtrodden peopl
131,Green Book,biographi comedi drama,workingclass italianamerican bouncer driver africanamerican classic pianist tour venu s american south
132,"Three Billboards Outside Ebbing, Missouri",comedi crime drama,mother person challeng local author solv daughter murder fail catch culprit
133,Talvar,crime drama mysteri,experienc investig confront conflict theori perpetr violent doubl homicid
134,Baahubali 2: The Conclusion,action drama,shiva son bahubali learn heritag begin look answer stori juxtapos past event unfold mahishmati kingdom
135,Klaus,anim adventur comedi,simpl act kind spark frozen faraway place smeerensburg new postman jesper befriend toymak klau gift melt ageold feud deliv sleigh holiday tradit
136,Drishyam,crime drama mysteri,desper measur taken man tri save famili dark law commit unexpect crime
137,Queen,adventur comedi drama,delhi girl tradit famili set solo honeymoon marriag get cancel
138,Mandariinid,drama war,war rage abkhazia breakaway region georgia estonian man ivo decid stay harvest crop tangerin bloodi conflict door wound man left ivo take
139,Bhaag Milkha Bhaag,biographi drama sport,truth ascens milkha singh scar indiapakistan partit
140,Gangs of Wasseypur,action comedi crime,clash sultan shahid khan lead expuls khan wasseypur ignit deadli blood feud span gener
141,Udaan,drama,expel school year old boy return home abus oppress father
142,Paan Singh Tomar,action biographi crime,stori paan singh tomar indian athlet seventim nation steeplechas champion fear dacoit chambal valley retir
143,El secreto de sus ojos,drama mysteri romanc,retir legal counselor write novel hope closur past unresolv homicid case unreciproc love superior haunt decad later
144,Warrior,action drama sport,youngest son alcohol boxer return home he train father competit mix martial art tournament path put fighter collis cours estrang older brother
145,Shutter Island,mysteri thriller,marshal investig disappear murder escap hospit crimin insan
146,Up,anim adventur comedi,yearold carl fredricksen travel paradis fall hous equip balloon inadvert take young stowaway
147,The Wolf of Wall Street,biographi crime drama,base true stori jordan belfort rise wealthi stockbrok live high life fall involv crime corrupt feder govern
148,Chak De! India,drama famili sport,kabir khan coach indian women nation hockey team dream make girl team emerg victori odd
149,There Will Be Blood,drama,stori famili religion hatr oil mad focus turnofthecenturi prospector earli day busi
150,Pan's Labyrinth,drama fantasi war,falangist spain bookish young stepdaught sadist armi offic escap eeri captiv fantasi world
151,Toy Story 3,anim adventur comedi,toy mistakenli deliv daycar center instead attic right andi leav colleg woodi convinc toy werent abandon return home
152,V for Vendetta,action drama scifi,futur british tyranni shadowi freedom fighter known alia v plot overthrow help young woman
153,Rang De Basanti,comedi crime drama,stori young indian assist english woman film documentari freedom fighter past event lead reliv longforgotten saga freedom
154,Black,drama,cathart tale young woman hear talk teacher bring ray light dark world
155,Batman Begins,action adventur,train mentor batman begin fight free crimeridden gotham citi corrupt
156,"Swades: We, the People",drama,success indian scientist return indian villag nanni america process rediscov root
157,Der Untergang,biographi drama histori,traudl jung final secretari adolf hitler tell nazi dictat final day berlin bunker end wwii
158,Hauru no ugoku shiro,anim adventur famili,unconfid young woman curs old bodi spite witch chanc break spell lie selfindulg insecur young wizard companion leg walk castl
159,A Beautiful Mind,biographi drama,john nash brilliant asoci mathematician accept secret work cryptographi life take turn nightmarish
160,Hera Pheri,action comedi crime,unemploy men look answer money problem opportun arriv know
161,"Lock, Stock and Two Smoking Barrels",action comedi crime,botch card game london trigger friend thug weedgrow hard gangster loan shark debt collector collid seri unexpect event sake weed cash antiqu shotgun
162,L.A. Confidential,crime drama mysteri,corrupt grow s lo angel policemen straitlac brutal sleazi investig seri murder brand justic
163,Eskiya,crime drama thriller,baran bandit releas prison year search vengeanc lover
164,Heat,crime drama thriller,group profession bank robber start feel heat polic unknowingli leav clue latest heist
165,Casino,crime drama,tale greed decept money power murder occur best friend mafia enforc casino execut compet gambl empir fastliv fastlov socialit
166,Andaz Apna Apna,action comedi romanc,slacker compet affect heiress inadvert protector evil crimin
167,Unforgiven,drama western,retir old west gunsling william munni reluctantli take job help old partner ned logan young man schofield kid
168,Indiana Jones and the Last Crusade,action adventur,father professor henri jone sr goe miss pursu holi grail professor henri indiana jone jr find adolf hitler nazi stop obtain power
169,Dom za vesanje,comedi crime drama,lumin tale set area sarajevo itali perhan engag young romani gypsi telekinet power seduc quickcash world petti crime threaten destroy love
170,Tonari no Totoro,anim famili fantasi,girl countri near ail mother adventur wondrou forest spirit live nearbi
171,Die Hard,action thriller,nypd offic tri save wife taken hostag german terrorist christma parti nakatomi plaza lo angel
172,Ran,action drama war,mediev japan elderli warlord retir hand empir son vastli underestim newfound power corrupt caus turn otherand
173,Raging Bull,biographi drama sport,life boxer jake lamotta violenc temper led ring destroy life outsid
174,Stalker,drama scifi,guid lead men area known zone room grant wish
175,Höstsonaten,drama music,marri daughter long mother love visit success concert pianist
176,The Message,biographi drama histori,epic histor drama chronicl life time prophet muhammad serv introduct earli islam histori
177,Sholay,action adventur comedi,famili murder notori ruthless bandit polic offic enlist servic outlaw captur bandit
178,Monty Python and the Holy Grail,adventur comedi fantasi,king arthur knight round tabl embark surreal lowbudget search holi grail encount silli obstacl
179,The Great Escape,adventur drama histori,alli prison war plan number escap german camp world war ii
180,To Kill a Mockingbird,crime drama,atticu finch lawyer depressionera south defend black man undeserv rape charg children prejudic
181,Yôjinbô,action drama thriller,crafti ronin come town divid crimin gang decid play free town
182,Judgment at Nuremberg,drama war,american court occupi germani tri nazi judg war crime
183,Some Like It Hot,comedi music romanc,male musician wit mob hit flee state allfemal band disguis women complic set
184,Smultronstället,drama romanc,live life mark cold age professor forc confront empti exist
